,,,,,,,,,,,,,,,,,,,,,,,,State,State - Abv,Eligible States,Not Eligible,Products,Price,Link,Allow States,BMI STATUS,STRIVE STATES,
,Nutrition Consultation - 6 Months,$799.86,https://buy.stripe.com/aFa14mazJ2cPb3n9C10JH24,,,,Grass-Fed Collagen Creamer (Vanilla),,$35.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Washington,WA,yes,,(6% Fee) Combo Semaglutide 3mg,"$1,141.62",https://buy.stripe.com/cN2aFI3aB8tR3ss2OI,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6% Fee) Nutrition Consultation - 3 Months + 2 Slim Boost,$664.62,https://buy.stripe.com/28EbJ0cHR2cPdbvbK90JJ2f,,,,Grass-Fed Collagen Peptides Powder (Chocolate),,$35.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,West Virginia,WV,no,,(6% Fee) Semaglutide 7mg + 2 Slim Boost,"$1,131.02",https://buy.stripe.com/00geVY26x39xbYY2YU,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Nutrition Consultation - 3 Months + 2 Slim Boost,$627.01,https://buy.stripe.com/bJedR8azJdVx7Rb9C10JJ2b,,,,Greens Superfood,,$35.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Wisconsin,WI,yes,,(6% Fee) Nutrition Consultation - 6 Months + 3 Slim Boost,"$1,130.87",https://buy.stripe.com/3cI9AS23d3gT3AV7tT0JJ2g,ALL,ALL,,
,(6%Fee) Nutrition Consultation - 3 Months,$475.95,https://buy.stripe.com/9B628qgY718L2wRcOd0JJ3Q,,,,Colon Gentle Cleanse,,$35.00,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,Wyoming,WY,yes,,Tirzepatide 24mg + Nutritional Consultation,"$1,098.00",https://buy.stripe.com/5kQ3cucHR9Fh3AV15v0JH2a,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Nutrition Consultation - 3 Months,$449.01,https://buy.stripe.com/00w8wO7nxaJl1sNeWl0JH23,,,,Mushroom Extract Complex,,$34.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 7mg + Nutritional Consultation,"$1,088.00",https://buy.stripe.com/cNiaEWcHRcRtb3neWl0JH2c,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,NOT CLIENT (6% Fee) Nutrition Consultation + Slim Boost,$359.34,https://buy.stripe.com/00gg029yZ8tR2ooctP,,,,Diet Drops Ultra 1 oz,,$32.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Tirzepatide - Microdose + 2 months Nutrition Consultation + Slim Boost,"$1,086.00",https://buy.stripe.com/00wfZgfU3eZB6N75lL0JL1A,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,NOT CLIENT Nutrition Consultation + Slim Boost,$339.00,https://buy.stripe.com/8wM29c9yZ25t3ss3Xi,,,,Reds Superfood,,$30.00,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Combo Semaglutide 3mg,"$1,077.00",https://buy.stripe.com/4gw7tw12th0n6EE2OE,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6% Fee) Nutrition Consultation + Slim Boost,$305.28,https://buy.stripe.com/6oE4hk3aB5hF0ggalJ,,,,Bone & Heart Support,,$29.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Semaglutide 7mg + 2 Slim Boost,"$1,067.00",https://buy.stripe.com/6oE8xA12tfWjfba56S,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Nutrition Consultation + Slim Boost,$288.00,https://buy.stripe.com/3cs7tw4eFaBZ3ss2Tg,,,,"Hair, Skin and Nails Essentials",,$25.99,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Nutrition Consultation - 6 Months + 3 Slim Boost,"$1,066.86",https://buy.stripe.com/9B6cN4ePZbNpfjD4hH0JJ2c,ALL,ALL,,
,NOT CLIENT (6% Fee) Nutrition Consultation,$265.00,https://buy.stripe.com/8wM158cLb4dBd32b0P,,,,Probiotic 40 Billion with Prebiotics,,$25.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 3mg + Nutritional Consultation,"$1,047.28",https://buy.stripe.com/4gM5kC4bldVx3AVeWl0JH2i,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,NOT CLIENT Nutrition Consultation,$250.00,https://buy.stripe.com/9AQaFIeTj4dB5AA0m9,,,,Complete Multivitamin,,$25.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Tirzepatide 24mg + Slim Boost,"$1,047.28",https://buy.stripe.com/bIY014eTjh0n7IIfBL,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Cashmere Cream,$229.00,https://dharmanutritionclinic.com/products/cashmere-cream,,,,Max Detox (Acai detox),,$24.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Combo Tirzepatide 8mg,"$1,046.22",https://buy.stripe.com/6oE5loeTjdOb6EEfBH,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6% Fee) Nutrition Consultation,$210.94,https://buy.stripe.com/7sIeVYh1r25t3ss02p,,,,Digestive Enzyme Pro Blend,,$24.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide - Microdose + 2 Months Nutrition + Slim Boost,"$1,034.55",https://buy.stripe.com/3cI14mazJaJldbv29z0JL1u,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,Nutrition Consultation,$199.00,https://buy.stripe.com/dR67tw6mN25t2oo7uQ,,,,"Vitamin D3 2,000 IU",,$24.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Semaglutide 3mg + Nutritional Consultation,$988.00,https://buy.stripe.com/5kQ3cu0Z96t5b3n6pP0JH2d,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,(6% Fee) Slim Boost,$94.34,https://buy.stripe.com/28E00i5fp5p13AV7tT0JM2T,,,,Sleep Well Gummies (Adult),,$24.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Tirzepatide 24mg + Slim Boost,$988.00,https://buy.stripe.com/4gw5lo12t4dB2oobls,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Slim Boost,$89.00,https://buy.stripe.com/9B64gyazJ8BddbvbK90JM2S,,,,Turmeric Gummies,,$22.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Combo Tirzepatide 8mg,$987.00,https://buy.stripe.com/00g8xA8uVdOb7II614,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Anti-Nausea Consult / Ondansetron,$29.90,https://buy.stripe.com/7sYdR86jtbNp0oJeWl0JN2B,,,,Maca Plus,,$19.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,Semaglutide - Microdose + 2 Months Nutrition + Slim Boost,$976.00,https://buy.stripe.com/28EeVc7nxaJlb3neWl0JL1t,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,Ultra Cleanse Smoothie Greens,$42.90,,,,,Multivitamin Bear Gummies (Adult),,$19.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee)Tirzepatide 24mg,$952.94,https://buy.stripe.com/6oEaFI26xfWj4ww9dm,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Brain & Focus Formula,$39.90,,,,,Joint Support Gummies (Adult),,$19.90,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Tirzepatide 8mg + Nutritional Consultation,$951.88,https://buy.stripe.com/14AcN47nxcRtfjD9C10JH2g,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,L-Glutamine Powder,$39.90,,,,,Detox Tea,,$15.99,,https://dharmanutritionclinic.com/collections/supplements?sca_ref=6356953.pSmeLUIE3F,,,,,,,,,,,,,,,,,(6% Fee) Lipo-Mino - 3 months,$942.34,https://buy.stripe.com/aFa5kCgY78BdgnHeWl0JH0E,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,Energy Strips,$36.50,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) NAD+ - 3 months,$942.34,https://buy.stripe.com/6oU6oGazJdVx2wR6pP0JH0G,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,Sleep Strips,$36.50,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 7mg,$942.34,https://buy.stripe.com/cN28xAfXnbG3fbablj,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Grass-Fed Collagen Creamer (Vanilla),$35.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Tirzepatide - Microdose + Nutrition Consultation + Slim Boost,$940.22,https://buy.stripe.com/5kQ4gy37h4kX6N715v0JL1z,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,Grass-Fed Collagen Peptides Powder (Chocolate),$35.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 3mg + Slim Boost,$930.68,https://buy.stripe.com/7sI29c8uV7pNd322OG,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Grass-Fed Hydrolyzed Collagen Peptides,$35.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Combo Semaglutide 1mg,$929.62,https://buy.stripe.com/5kA9BE6mN9xVaUU4WK,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Greens Superfood,$35.90,,,,,,,,,,,,,,,,,,,,,,,,,,Tirzepatide 24mg,$899.00,https://buy.stripe.com/3cseVY12t4dBbYYdsP,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Colon Gentle Cleanse,$35.00,,,,,,,,,,,,,,,,,,,,,,,,,,Tirzepatide 8mg + Nutritional Consultation,$898.00,https://buy.stripe.com/cNicN49vFbNp7RbeWl0JH2b,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Mushroom Extract Complex,$34.90,,,,,,,,,,,,,,,,,,,,,,,,,,Lipo-Mino - 3 months,$889.00,https://buy.stripe.com/fZu4gy7nxaJl7RbdSh0JH0D,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,Diet Drops Ultra 1 oz,$32.90,,,,,,,,,,,,,,,,,,,,,,,,,,NAD+ - 3 months,$889.00,https://buy.stripe.com/5kQ7sK7nxdVx4EZcOd0JH0F,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,Reds Superfood,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 7mg,$889.00,https://buy.stripe.com/fZecNQdPf6lJ4ww60u,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Bone & Heart Support,$29.90,,,,,,,,,,,,,,,,,,,,,,,,,,Tirzepatide - Microdose + Nutrition Consultation + Slim Boost,$887.00,https://buy.stripe.com/6oUfZgcHR9Fhdbv01r0JL1y,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,"Hair, Skin and Nails Essentials",$25.99,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 3mg + Slim Boost,$878.00,https://buy.stripe.com/4gwcNQdPfaBZ4ww60P,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Complete Multivitamin,$25.90,,,,,,,,,,,,,,,,,,,,,,,,,,Combo Semaglutide 1mg,$877.00,https://buy.stripe.com/cN29BEbH725t5AA9cY,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Probiotic 40 Billion with Prebiotics,$25.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6%Fee) Nutrition Consultation - 6 Months,$847.85,https://buy.stripe.com/dRm00i6jtcRt2wR6pP0JJ3R,ALL,ALL,,
,Digestive Enzyme Pro Blend,$24.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 3mg,$836.34,https://buy.stripe.com/eVabJMbH7aBZ6EEgFx,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Max Detox (Acai detox),$24.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Tirzepatide 8mg + Slim Boost,$835.28,https://buy.stripe.com/6oE6psbH7eSffba75a,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Sleep Well Gummies (Adult),$24.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 1mg + Nutritional Consultation,$835.28,https://buy.stripe.com/dRm28qcHR18L2wReWl0JH2j,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,"Vitamin D3 2,000 IU",$24.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide - Microdose + Nutrition Consultation + Slim Boost,$823.62,https://buy.stripe.com/4gM4gy9vFeZB6N73dD0JL1s,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,Turmeric Gummies,$22.90,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition Consultation - 6 Months,$799.86,https://buy.stripe.com/aFa14mazJ2cPb3n9C10JH24,ALL,ALL,,
,Joint Support Gummies (Adult),$19.90,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) GHK-Cu 3 Months,$792.88,https://buy.stripe.com/00weVc4bleZBfjDeWl0JO2d,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,Maca Plus,$19.90,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 3mg,$789.00,https://buy.stripe.com/00g158cLb25t5AA0G9,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Multivitamin Bear Gummies (Adult),$19.90,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 1mg + Nutritional Consultation,$788.00,https://buy.stripe.com/7sYbJ00Z904HdbveWl0JH2e,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,Detox Tea,$15.99,,,,,,,,,,,,,,,,,,,,,,,,,,Tirzepatide 8mg + Slim Boost,$788.00,https://buy.stripe.com/00g3dg6mNfWjgfedtv,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide - Microdose + Nutrition Consultation + Slim Boost,$777.00,https://buy.stripe.com/14AcN4cHR5p10oJ3dD0JL1r,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHK-Cu 3 Months,$748.00,https://buy.stripe.com/aFaaEW7nx6t5efzg0p0JO2c,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Tirzepatide 8mg,$740.94,https://buy.stripe.com/9AQcNQh1r9xV4ww0GL,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 1mg + Slim Boost,$718.68,https://buy.stripe.com/bIYcNQ7qR25t2oo74R,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Combo NAD,$701.72,https://buy.stripe.com/14k1588uV8tR5AAawz,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Combo Lipo-Mino,$701.72,https://buy.stripe.com/8x24gy4bl04HfjD6pP0JG3s,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tirzepatide 8mg,$699.00,https://buy.stripe.com/cN20145iJeSfd32gF0,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 1mg + Slim Boost,$678.00,https://buy.stripe.com/aEU9BE8uV7pN0ggbl5,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Nutrition Consultation - 3 Months + 2 Slim Boost,$664.62,https://buy.stripe.com/28EbJ0cHR2cPdbvbK90JJ2f,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo NAD,$662.00,https://buy.stripe.com/4gw15826xdOb5AA5cc,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combo Lipo-Mino,$662.00,https://buy.stripe.com/bJedR84bleZB4EZdSh0JG3j,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Sermorelin Two Months,$634.94,https://buy.stripe.com/6oU6oGdLV3gTb3n15v0JO2g,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
